CookerStat, GenerateAssetRegistry=0.020832, Initialize=0.109881, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId5BAF7106409174E593810F8074538DD3_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_1E65D00E44636F65A128BDA33B9019B8_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.10.10-16.55.48, Duration=339.144226, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId8014D72241EAC9601EF39990C91C4AF8_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_1E65D00E44636F65A128BDA33B9019B8___4A40C86A7C1E95BEEA4305B5C49906902658CC9C, StartTime=2016.10.10-16.55.48, HierarchicalDDC=, DataSize=4194565, Duration=13.472948, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId4C99C2C74FC6095F08C32B8FCA6543F7_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_1E65D00E44636F65A128BDA33B9019B8___25557F9951206157EE3C32ED019CA24B171D759C, StartTime=2016.10.10-16.55.48, HierarchicalDDC=, DataSize=1048837, Duration=7.432748, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId49AFCA804BF55AD8E26CFC996B5190A1_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_1E65D00E44636F65A128BDA33B9019B8___92E2826EA80ABEC29301A7588A95EA7FE366F4C9, StartTime=2016.10.10-16.55.48, HierarchicalDDC=, DataSize=262403, Duration=6.816924, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId49AFCA804BF55AD8E26CFC996B5190A1_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_1E65D00E44636F65A128BDA33B9019B8___CA17EB22638AB63212EDB6A8BDF6D3F56C1C3C35, StartTime=2016.10.10-16.55.48, HierarchicalDDC=, DataSize=65795, Duration=24.082621, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId4C99C2C74FC6095F08C32B8FCA6543F7_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_1E65D00E44636F65A128BDA33B9019B8___8189BFB201F3530767774637580B931A5CB00C0B, StartTime=2016.10.10-16.55.48, HierarchicalDDC=, DataSize=16643, Duration=5.879603, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId8014D72241EAC9601EF39990C91C4AF8_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_1E65D00E44636F65A128BDA33B9019B8___60186984D632D5A9254291E9EDF09D43D3CC47A9, StartTime=2016.10.10-16.55.48, HierarchicalDDC=, DataSize=7468, Duration=5.010810, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId5BAF7106409174E593810F8074538DD3_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_8C2A0C1C4BD075722415FB8C7B498B01_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.10.10-16.55.48, Duration=265.172943, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId4C99C2C74FC6095F08C32B8FCA6543F7_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_8C2A0C1C4BD075722415FB8C7B498B01__63A967B35EFACF761863A8AB7F0A7C48EA0A455F, StartTime=2016.10.10-16.55.48, HierarchicalDDC=, DataSize=2097414, Duration=15.922357, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId8014D72241EAC9601EF39990C91C4AF8_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_8C2A0C1C4BD075722415FB8C7B498B01__1B3C60F7719C50675DE6707C4240A75B4A18FCEA, StartTime=2016.10.10-16.55.48, HierarchicalDDC=, DataSize=524550, Duration=13.816785, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId49AFCA804BF55AD8E26CFC996B5190A1_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_8C2A0C1C4BD075722415FB8C7B498B01__76FE3E1DC566D5B6F759F8AAFBD1E0A90D0A5EE7, StartTime=2016.10.10-16.55.48, HierarchicalDDC=, DataSize=131332, Duration=16.776358, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId8014D72241EAC9601EF39990C91C4AF8_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_8C2A0C1C4BD075722415FB8C7B498B01__8B59CA0FE4634060B5B184DAE69B54CF521D31C0, StartTime=2016.10.10-16.55.48, HierarchicalDDC=, DataSize=33028, Duration=7.928423, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId4C99C2C74FC6095F08C32B8FCA6543F7_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_8C2A0C1C4BD075722415FB8C7B498B01__0EC502D872A881535BBB66B813BDD9196B266587, StartTime=2016.10.10-16.55.48, HierarchicalDDC=, DataSize=8452, Duration=4.020058, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId49AFCA804BF55AD8E26CFC996B5190A1_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_8C2A0C1C4BD075722415FB8C7B498B01__826AE2E1C83AA25A10EF62DCD3B1448CF60CB1F0, StartTime=2016.10.10-16.55.48, HierarchicalDDC=, DataSize=4731, Duration=3.655396, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId5BAF7106409174E593810F8074538DD3_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_852A702C487AA36DEE48239A4D5B8CD4_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.10.10-16.55.48, Duration=1526.035156, RunGuid=RunID79DB51624897369D27780AA03A67645D
DDCTransactionId4C99C2C74FC6095F08C32B8FCA6543F7_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_852A702C487AA36DEE48239A4D5B8CD4__80C49BDF92436C3476B2917B20BF8195FC61328F, StartTime=2016.10.10-16.55.50, HierarchicalDDC=, DataSize=2097414, Duration=8.244186, RunGuid=RunID79DB51624897369D27780AA03A67645D
