DDCTransactionId61850C3F4F8EF26CF8E8BE84354C39A1_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_017E72834BC6A481B9D2E7B57B15158A_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000001000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.11.15-11.09.48, Duration=347.625641, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
DDCTransactionId954A77AA4979C1133EFD53BB7BACE9C4_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_017E72834BC6A481B9D2E7B57B15158__659A98AE69E93C35984CE59DFC41B9ADDA0893E2, StartTime=2016.11.15-11.09.48, HierarchicalDDC=, DataSize=8388871, Duration=20.714272, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
DDCTransactionIdB4A5E323441CB0D7DEE590AC50CE7DA9_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_017E72834BC6A481B9D2E7B57B15158__7BCB945C6A82D205AE96C8F204E5B72B3255112D, StartTime=2016.11.15-11.09.48, HierarchicalDDC=, DataSize=2097414, Duration=99.270248, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
DDCTransactionIdC99930534075D50C3177DAB01A34A835_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_017E72834BC6A481B9D2E7B57B15158__FDD785012476B36FBFB9EFEFD11F39A3CBC35FE3, StartTime=2016.11.15-11.09.48, HierarchicalDDC=, DataSize=524549, Duration=1.513593, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
DDCTransactionIdC99930534075D50C3177DAB01A34A835_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_017E72834BC6A481B9D2E7B57B15158__9B510A5E2DE9B6D05B20B875A1ABB01D63B60746, StartTime=2016.11.15-11.09.48, HierarchicalDDC=, DataSize=131333, Duration=11.151816, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
DDCTransactionIdC99930534075D50C3177DAB01A34A835_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_017E72834BC6A481B9D2E7B57B15158__6D829488C3EF91BC7A1CBE9F2A8EEB47433609D9, StartTime=2016.11.15-11.09.48, HierarchicalDDC=, DataSize=33028, Duration=0.474546, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
DDCTransactionIdC99930534075D50C3177DAB01A34A835_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_017E72834BC6A481B9D2E7B57B15158__033B40A7CD6EDB2A8C5BEC6C104D9FF39FAE99B1, StartTime=2016.11.15-11.09.48, HierarchicalDDC=, DataSize=12919, Duration=0.063092, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
DDCTransactionId61850C3F4F8EF26CF8E8BE84354C39A1_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_354438964A955083A2E474ABA7A8675C_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.11.15-11.09.48, Duration=104.086044, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
DDCTransactionIdC99930534075D50C3177DAB01A34A835_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_354438964A955083A2E474ABA7A8675C___4AAD63680D9FD9E676A23E1F2F96AF19B16EBA6E, StartTime=2016.11.15-11.09.48, HierarchicalDDC=, DataSize=1048837, Duration=4.973367, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
DDCTransactionId954A77AA4979C1133EFD53BB7BACE9C4_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_354438964A955083A2E474ABA7A8675C___778A5311C4FE8396D3144CB40ADD206B09E2DCE2, StartTime=2016.11.15-11.09.48, HierarchicalDDC=, DataSize=262403, Duration=0.920109, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
DDCTransactionIdB4A5E323441CB0D7DEE590AC50CE7DA9_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_354438964A955083A2E474ABA7A8675C___9C9B2D0FF37A505BCCEBF20A482E1F128D8D2181, StartTime=2016.11.15-11.09.48, HierarchicalDDC=, DataSize=65795, Duration=0.800870, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
DDCTransactionIdB4A5E323441CB0D7DEE590AC50CE7DA9_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_354438964A955083A2E474ABA7A8675C___7E6FEBCC6FE889F0B21DCEC81CC935A7A3BB9667, StartTime=2016.11.15-11.09.48, HierarchicalDDC=, DataSize=16643, Duration=0.333872, RunGuid=RunID1CAA48BD4A4412EBBF39B3B551921877
